Name,RatingValue,DatePublished,Review,Sentiment
Seven Lives Tacos y Mariscos,1,2020-05-24,"Ok, so I know this place is all the rage. 

I ordered the grilled beef for corona takeaway and I was disgusted. There was more fat, cartilage and inedible pieces than beef. Chew chew CRUNCH - spit. Over and over. My friend called me two hours later after ordering the same thing - she ended up giving her order to the homeless after the first bite. 

This means that they either don't clean (cut the meat) properly, or using cheaper pieces to save a buck. 

The grilled chicken was dry too. Honestly though, the shrimp was good. Stick to pulled beef and chicken for authenticity and - TEXTURE. C'mon seven lives!

Very disappointed.",0
Dimmi Bar & Trattoria,2,2018-12-11,"I found this place while walking around Yorkville. I came without reservations but I was seated quickly as the restaurant was fairly empty on a weeknight. 

The restaurant is pretty spacious. They have a private dining room on the upper level for large groups. The ambience is upscale and relaxing.

Service:

The server was nice but she wasn't around very often. I had to wave another server down for more water since my assigned server barely checked up on my table.

Food:
Calamari Fritti - The calamari was pretty standard.

Fettucine Alla riviera -  The fettucine pasta was disappointing as the sauce was underwhelming. It was pretty bland. 

Gnocchi Alla Dimmi - The gnocchi was decent.

Overall:

Great location with a nice ambiance. However, poor service and overpriced, mediocre food. They may be busy but that may be because of their convenient location.",0
La Chingada,5,2019-03-18,"Alright, I better review this place before I'm late to the party. If they keep up with the quality they provided when I visited, you can expect them to become renown in the area and even the city. When that happens, I'll proudly remind people that I first visited before their grand opening.

I had the tinga de pollo and barbacoa. I'm not sure it's necessary to break down the ingredients as many are familiar with Mexican food. They key is that the food quality and preparation are exceptional here. It's hard to avoid cliches such as ""texture"" ""fully seasoned"" ""done right"" ""full of flavour"" when describing the food here, but that's exactly how my experience was. They are clearly using great ingredients, even down to the tortillas which are better than most places. As they say ""good food makes good food"".

I would also add they everything was exceptionally fresh and the prices are fair. Can't wait to go back and hope that they can keep this up.",2
House of Gourmet,4,2020-02-26,"It's a bit of a no-frills place -- definitely not too fancy place by any standards. However, it's a typical Chinese resturant serving an extensive menu with hundreds of items and fairly convienient in its location and hours. It gets kinda loud inside and they only allow debit and credit card over a certain amount but that's okay. 

They have a lot of the comfort food staples, like fried rice, congee, or mapo tofu etc. I typically come here for the cold cuts like the roast duck or BBQ pork (char siu). You can get it as a dish on its own or have it over rice. 

In general, if you're looking for Chinese take-out or a simple dish over rice, this is the place to be at. They also have more expensive stuff as well, like seafood but I'm not sure how popular it is.

And oh yeah, there's Hong Kong milk tea for like two dollars, which is pretty boss.",2
GB Hand-pulled Noodles,3,2019-12-15,"I have to give credit where credit is due - GB Noodles is the restaurant that made me a noodle-soup fan. I lived in China from 2015-2017, and while I was there, I didn't find a noodle soup I enjoyed. 

GB Noodles changed all of that. I used to love coming here. It was consistently delicious.

I'm not sure what's changed, but it definitely isn't the soup I remember. It's still good, don't get me wrong, but after coming back for the first time in about a year, I'm just not sure what's changed. The broth is decent, the noodles are still fantastic, but the overall effect left me a bit wanting.",1
Terroni,4,2019-09-03,"One of my favourite Italians in the city and not just for the food, this location is great for a meal out due to its ambience and the setting in such a historic, classic building - really adds to the experience!

Not to brag but being greedy I had a pizza, pasta and salad last time I went and all were great with fresh ingredients and the salad in particular was really refreshing sandwiched in between my carb medley!

Very good wine selection too.

PS - it you go on a date and it's rubbish they have jail cells underground sooo.....",2
Blu Ristorante,1,2019-06-17,The food was just horrible. The food was bland and the servers told us to try dishes that did not taste well,0
MEXITACO,2,2019-07-22,"This was the worst $32 I ever spent ... 
soggy & flavourless. Was very excited to try this place but I don't think I will be returning or ordering again in the future. Disappointed :(",0
House of Gourmet,3,2019-06-26,"Fairly average Chinese food but open late until 2:00 am with lots of seating. They are located a block or so from from Spadina on Dundas.

Their food seems pretty average to me except for their char siu (BBQ Pork) on rice that is my favorite. Everything else is ok but with the exception of great wok hei. If you're looking for a quick bite after a night out this place will do since they open until 2:00 am and has plenty of seating. Their menu is fairly intense about 500 items and with plenty of seating for a big group. 

The food comes out super fast piping hot. Service is ok just need to keep flagging someone down, their table turn over is quick that is the way they operate so don't expect stellar service but they aren't horrible either.",1
Terroni,2,2019-12-12,"Very spacious restaurant, a bonus for downtown foodies. 
The location used to be a bank, so the architecture inside is unique, interesting, and stunning.
(Be sure to visit washrooms and vaults in the bsmt.) 

The menu is not typical Italian, which was a bit disappointing for my group of 7, and they're not open to substitutions for dietary / halal purposes. 

Our server was very insistent about what we should and shouldn't apply cheese to, a quick suggestion would've been nice - but then let ppl eat how they want to!

Food was a bit bland, although their tomato sauce tastes fresh and authentic. The fresh cut hot peppers they bring to the table saved our meals. 
*Be prepared to cut the uncooked basil on the Margherita pizza yourself ‍ it's just placed uncooked in the center.  

Desserts are a different story, very nice presentation and the taste was even better! The Tiramisu & Creme Caramel were a nice end to a mehh unexciting lunch. 

Not a lot of veggie/salad/vegan options for those who have medical / religious restrictions. 
But if you're into fusion menus and meat in everything  - this is definitely a great place to go for that.",0
Mi Taco Taqueria,1,2019-08-28,"Unfortunate to see such a great and authentic place go down in quality after growth in business. 

I loved Mi Taco when it first opened, it has a real authentic feel to it, amazing flavours of everything. 

I went back today after a couple years out of the neighbourhood and was so excited to go back, I was happy to see how busy they were and they had renovated. 

Unfortunately the quality of taco took a MASSIVE hit. The corn tortilla was mush by the time my food came to me. No seasoning at all. What a disappointing experience and loss in Toronto's Taco scene.",0
House of Gourmet,3,2019-09-25,"If you're out late night and want to grab some Asian food, then this restaurant is the perfect spot as it closes at 4am. We came around 9:30pm and the restaurant was pretty packed. You can't expect over the top service compared to other restaurants, but for a typical chinese restaurant standards, this restaurant is on average with it. 

We ordered their bbq pork/roasted pork and the black pepper sauce rice with beef. 
- Bbq Pork/ Roasted Pork: As expected, since it was pretty late at night, the meat wasn't fresh. The roasted pork was cold and the skin wasn't as crunchy vs being fresh. The bbq pork was pretty dry and was not juicy at all.
- Black Pepper Sauce rice with beef: This dish was actually really good which is why the ratings not as low. Since it was cooked fresh, the beef was tender and juicy, and the sauce tasted great. Portion size was pretty decent but for the price you pay, you only really get 3-4 pieces of beef. 

I'll probably skip this place next time if I wanted late night food and try out some other restaurants which were pretty busy as well.",1
Banh Mi Boys,5,2020-02-20,"I can see why Banh Mi's are popular - really great food for great value.

Have had the Kalbi Beef 2x and 5 Spice Pork within the last week. So, so nice. Was my first experience of Vietnamese food in Toronto & it didn't disappoint. 5 stars.",2
Comal y Canela,5,2019-05-05,"Three visits to this place so far, and we've gotten the enmoladas (chicken mole enchiladas) each time. The mole sauce is addictive; The blend of spices, chilis, and chocolate is rich, creamy, and balanced. 

If you're looking for the next level of shareable nachos, the asada chilaquiles is a mammoth portion of salsa poured over tortillas and topped with steak, cheese, cream, avocado, and beans on the side. 

They also have a tasty carnitas, a solid birria and pozole, along with various tacos (we liked the gobernador and the cochinita so far). 

Most of the dishes come with three types of salsa, onions, limes, and cilantro to dress your food with.

For drinks, I'd recommend the Jamaica, a hibiscus iced tea, and the Tepache, fermented pineapple juice and piloncillo. They have a lower level of sweetness, which was appreciated.",2
Buca,1,2019-10-20,"Service was horrible. I cant explain with the words. We waited a lot for everything. The bill came 15 minute after I asked. Pasta was extremley small but i cant understand this shit. Why dont you put more pastocon the plate ? Pasta is super cheap thing also there is no cheaper pasta than $22. Like just put some more that than i can say it worth! 

Terrible experience I dont reccomend to people go there.",0
Fieramosca,3,2016-07-03,"You take the good, you take the bad, you take them both and there you have the facts of life... at Fieramosca.  (You are old like me if you know that theme song!)

Have you ever gone to a restaurant with great expectations based on reviews and left disappointed?  That was our experience.

Some call it cozy but for me the table layout in the main dining room is claustrophobically cramped.  If you want a seat on the patio on Friday or Saturday in the summer, make sure to reserve several days in advance.

Reservations are taken by phone and I will admit they were very helpful even if it did take 10 rings for them to answer... I was surprised that a restaurant in this price range did not have online reservations!

Being in a house transformed into a restaurant, the entry hallway is narrow, so if someone is going out, nobody can go in and vice versa.  

So if you are even a little claustrophobic,  be warned, you won't be comfortable here.  

The food:

Complimentary bruschetta:  A plain Pizza crust with bruschetta topping which falls off and wasn't that flavourful. Go to La Bruschetta to find out how it is meant to taste.

Caesar salad:  Crispy romaine, hints of fresh garlic and Parmesan but the dressing seemed watery and the croutons were like rocks.

Bread basket:  Now I know why the croutons are like rocks, the crust on the bread was so hard I was worried I would break a tooth, and I also found it strange to be served whole wheat bread, when I was expecting crusty Italian bread.  

Spaghetti Carbonara:   The reason we came was because Hubby was craving Carbonara and based on great reviews we thought we would try it here but he found Fieramosca's version disappointingly bland, even with extra Parmesan cheese and fresh ground pepper.  

Linguini DI Mamma Ninetta:  I love mushrooms but was surprised that there were so many in this dish... With just 3 small shrimp and a few small pieces of chicken scattered throughout, and very little garlic flavour, this dish was edible but far from great.

Tiramisu:  No coffee flavour!  I have made Tiramisu before and have had it in countless restaurants and I know the lady fingers are to be dipped in coffee before being covered in cream, and these missed the coffee altogether, and the cream here seemed to just be whipped cream, none of the yummy marscapone that I was expecting.   Libretto's Tiramisu in a jar might not be traditional in presentation but has all the flavour that Fieramosca's lacked.  My favourite dessert when done well, I left disappointed.

Lemon Sorbet:  Frozen sorbet in a scooped out lemon, menu says imported from Italy.  I actually liked it better than the sad face Tiramisu so hubby swapped with me because while he usually loves anything lemon, he found an odd aftertaste.  I joked it was the jet fumes to bring frozen sorbet from Italy but the truth is, it was the perfume worn by the woman at the table next to ours.  Thankfully she arrived as we had dessert, so our entire meal was not ruined, but the smell was so overpowering that it gave us both a headache and we wanted to get out of there fast, since with the cramped layout she was almost on top of our table.

Ladies, please don't drown yourself in perfume and go to a restaurant!  Ugh!

TL;DR - Meh. Bottom line nothing was horrible but nothing was great, which for the price was disappointing.  Not worth a second visit.

2 stars bumped to 3 because the service was good.

The search for Pasta Carbonara continues... maybe a trip to NYC or even Rome!",1
Seven Lives Tacos y Mariscos,1,2020-05-24,"Ok, so I know this place is all the rage. 

I ordered the grilled beef for corona takeaway and I was disgusted. There was more fat, cartilage and inedible pieces than beef. Chew chew CRUNCH - spit. Over and over. My friend called me two hours later after ordering the same thing - she ended up giving her order to the homeless after the first bite. 

This means that they either don't clean (cut the meat) properly, or using cheaper pieces to save a buck. 

The grilled chicken was dry too. Honestly though, the shrimp was good. Stick to pulled beef and chicken for authenticity and - TEXTURE. C'mon seven lives!

Very disappointed.",0
La Marquesita,3,2019-06-03,"The place is a small take away joint near Ryerson University, a one amongst many others serving different cuisines. It is an open seating arrangement with 4 large picnic tables and the food carts around it. It was a nice sunny, windy day, perfect to get some spicy food.  Between the three of us we got

CHICKEN TEQUITA: a deep fried taco with guacamole and chicken. Could have been slightly more spicy. It was well marinated. 

CARNITAS TORTAS: this was delicious, a big CARNITAS loaded sandwich served with some nachos on the side. 

I like my Mexican to be slightly more spicy and a little more tangy, this was alright but I have had better and would keep experimenting till I find the flavor.",1
Donatello Restaurant,2,2018-08-23,"Recommended:
Veal marsala with penne

Ok:
Shrimp and scallops in wine sauce

Meh:
Roasted bell peppers. They're ok, but the quantity makes no sense unless you have a group to share with.

This type of food is really not my thing. A bit too straight forward and bland.

The food is simple Italian, but not special. The veal was well seasoned but a bit chewy. Still it was better than the shrimp and scallops dish, which contained small scallops and shrimp which seemed overcooked or reheated.

Olive oil and vinegar bottles are covered with corks which are very greasy. I have no idea how these could possibly be clean. Your fingers get dirty at minimum.

For the price, I expect higher quality or at least more interesting food.

Service was a bit absent at times, but passable overall. They only have one credit card machine, which created a bottleneck of a few minutes. It didn't matter this night, but if you have a time constraint, it is not a fast meal. The waiter explained and apologized, at least.",0
Fudao noodle house,2,2019-02-04,"Cute concept, but the toppings are absolutely horrible! The price is very very low, but I found myself paying less for great food in Chinatown so the low price does not play any factor here.

The toppings to be put into the broth are of the lowest quality. The meat is severely freezer burned and sort of breaks apart in the broth once cooked. Their sausage also tastes like couch medicine in liquid form.. why? Fudao seemed like the perfect place on a freezing Toronto night for me to warm up, but I regretted my decision more and more with each bite that I took.",0
Wilbur Mexicana,3,2019-07-23,"For what this spot is, it's fine. It's a King Street taco spot serving the King West crowd. Meaning, it's a bit overpriced (my dining companion asked me ""Are you SURE you only want 3 tacos...?"" while I was ordering) and a bit gimmicky for my liking. To be fair, I was coming off of having some fabulous tacos a couple of days ago at a little neighbourhood takeout where they mostly serve Latinx locals, AND I'm generally not a fan of anything fusion.

You grab a table and then line up to order and pay cafeteria-style. Then you go to the salsa bar for a very good variety of salsas and pico de gallo. Servers bring the food when it's ready. 

The food itself was fine, though don't order the grilled avocado if you don't eat dairy. It's literally just a grilled avocado. Even a healthy amount of pico de gallo and salsa couldn't save it. I found the tortillas really dry.

Atmosphere is cool and the people watching is pretty great. It was very busy with the after-work crowd. I don't think I'd return if I was craving tacos, but I would definitely hang out on their expanded sidewalk patio for a drink and some chips and guacamole.",1
Nodo Restaurant,2,2019-08-30,"New owner!!
Was my favourite place in the hood but noticed that the owner ship has changed and quality of the food has deteriorated. 
Less food and high priced.",0
Kit Kat Italian Bar & Grill,5,2019-02-09,"Great dining experience. Make sure to get a reservation. Excellent service,  excellent food! Rainbow Trout was divine! And tartuffo dessert... sublime! Couldn't have had a better meal. Everything was sensational!!",2
Fudao noodle house,5,2018-11-21,"I am a soup fanatic. I have soup summer winter fall, no matter the season. 

This noodle place fulfills all my criteria: clean, CHEAP, beautiful gorgeous food (I love it when they set down the huge stone pot of soup in front of you), wonderful selection of soup base (I go for the original in the summer, and spicy during winter), they even give you SHRIMP as one of the side dishes, PHEW! LUX! 

Free noodle refill 
Awesome service 
Discount when you pay with cash 
Close to campus 
(Almost) no wait time.

I'm just waiting for them to get $$$ so they can expand to a bigger venue (and possibly franchise it so I can have my soup closer to home..)",2
Zhang’s Kitchen,3,2019-12-24,"Service is very good...friendly ambiance but I'm sorry, I just did not taste the authentic chinese food that I want.  Maybe they are just giving a modern twist but not for me.  Also, the meat are so thinly sliced for the price it should have more than that.  It just my taste and maybe some people will not agree.",1
98 Aroma,5,2019-11-02,"Amazing food, really flavourful and especially good if you want some authentic spice. The interior is beautiful and really clean. It's really close to uoft so I come every now and again. Definitely my go to place nowadays.",2
La Marquesita,2,2019-11-04,"I ordered a taco from here, the Monterrey Steak. So tiny, it fits in the palm of your hand. Taste was ok but I don't think it is worth $6-7.",0
La Carnita,5,2018-12-27,"AmaZing. Literally said wow every bite. This place gets buuuuuuusy and I can understand why. The atmosphere is very cool, kinda dark tho and loud but that's because of people around us. The food was amazing. I can't even make a recommendation because everything was so good. The only think I regretted ordering was the taco with fried chicken, the chicken was just too bite and oily. But the taco came with a peanut lime hot sauce that was to die for. Next time I would ask for grilled chicken on top of that taco order instead of fried. The steak taco was perfection. I wouldn't order more than 2 tacos... me and my friend has one small app (the shrimp), 2 tacos each and the churros and that was absolutely the perfect amount of food. 

Server wasn't really coming to us a lot but it was getting so packed by the time we ordered. 10/10 definitely want to go back.",2
Harmoney Chinese Restaurant,1,2019-05-03,"When we arrived the restaurant was empty and silent. We were seated at a table that was sticky and bits of food left on the table. We ordered the Chinese burgers, pork soup dumplings and cold noodles. The buns were stale, the noodles were excessively greasy and had a weird texture, and the pork dumpling meat was fatty. After leaving the restaurant, both my girlfriend and I felt very uneasy, she threw up immediately. I originally decided to come to this restaurant based on the reviews but after my experience I would not recommend this to anyone.",0
Lai Wah Heen,5,2018-10-03,"High quality, fancy dining with some of the best dim sum I've had in Toronto. The interior was quite elegant (inside the Double Tree Hotel), service was very attentive, and every single dish was delicious.",2
Baretto Caffe,5,2020-01-23,"The rose pasta was so creamy and delicious. Highly highly recommend! Along with the hazelnut latte and white chocolate cappuccino, we thoroughly enjoyed our visit to this cafe. It was a bit hard to find at first and busy as we went around 1pm but it cleared up and we found a spot to sit. After trying the food, I understood why this place has a 5 star rating. You also get a free cappuccino if you spend over $20. The owners were so friendly and told us about the same cafe that their family owns in Italy.",2
Campechano Taquería,3,2018-06-04,"Great tacos with a good spice level! The food at Campechano is tapas style and they have a wide range of tacos. 

The guacamole is served with a side of spiced nachos - they were a little dry and stale, but the guacamole was fresh. The ceviche is an European bass, with a nice kick of spice as well. I ordered the fish taco which was freshly deep fried and simply delicious. 

The restaurant has a patio with outdoor seating, as well as bench like seating for larger groups. Unfortunately, the service is not as great as the food thus meriting a 3 star.",1
Bar Buca,3,2018-08-06,"Bar Buca was on my Bookmark list for brunch for a long time. Their egg skillet pictures impressed me. We didn't come sooner because my husband prefers a simple brunch menu which comes with eggs, bacon, sausage, ham, toast and salad. So, I had waited for a while until today.  

This afternoon I had trouble choosing which restaurant to have brunch at. We decided when it was 2 pm. Luckily, their brunch time is until 4 pm. So, we came to try out their eggs!  

FOOD (3.75/5)

- LA GRANDE COLAZIONE ($16). The dish comes with two hen's eggs, Italian sweet peppers salad (pepronata) and flatbread (tigella) . We saw the picture of the dish with FENNEL SAUSAGES on Yelp. It interested us and we both wanted to try it. However, I couldn't order the same dish as my husband did. I wanted to try something else also. I had a bite though (sigh). The sausage was small. It wasn't enough for two people lol. 

- UOVA CROCCANTI ($14). The dish came with three crispy duck eggs and topped with Buffalo Ricotta (cheese) and Pesto Genovese. The eggs and cheese were very flavourful. If you like cheese, you will love this. I'm not a big fan of buffalo ricotta. I like the taste but the smell was too strong for me. 

DRINK (4/5) 
We had Latte Macchiato ($3.95) and Americano ($2.90). Both were good. We love coffee. 

SERVICE (3/5)
I don't' really want o say that the service is mediocre. There are many reviews say that their services are great. Maybe it wasn't my day. My server was alright. She answered what I asked for but not really what I wanted. It was my first time and I wanted her to explain to us more about the menu and recommend us what the signature dishes are or what the most popular ones. We also don't know Italian! She said something. Short, and that was it! I could catch that those first few items on Salato section were salad and the half on the bottom were egg dishes, I guess. lol, I was disappointed! I was so excited at the beginning becuase I finally had a chance to come to try the brunch menu at Bar Buca. She just turned everything upside down. - -""

OVERALL (3.75/5)
The place was nice. The host was friendly. I love their eggs but I expect a bit more on their egg skillet and their service for the price. Would I come back again? I still want to try other dishes but I am concerned about their service.  We'll see!",1
Buca,4,2019-07-16,"We came for dinner on a Monday night and there was still a decent number of people within the restaurant even though it was a work night. The service was really nice as they helped suggest the best sellers of the restaurant.

Food:  For dinner, we had two pastas: Bigoli and Spaghetti Al Nero di Maiale and two pizzas: Prosciutto con Cipolle and Funghi. The duck ragu (Bigoli) was AMAZING, rich and perfectly cooked at al dente. The spaghetti had a unique taste in which it had a strong smoked taste which is not for everyone. I would recommend the prosciutto pizza because with the fresco it was delicious. On the other hand, the funghi had an overpowering Gorgonzola taste. Do not recommend! 

Overall, this meal was a bit pricey but it would be a great location for a date night as the ambience is dim, classy and rustic.",2
Lai Wah Heen,4,2019-04-03,"I recently attended a dinner at Lai Wah Heen with 9 others. We had made a reservation with the expectation of having a set dinner, but when we arrived, we discovered the menu we had been looking at online was no longer available. We were presented with a few other options and in the end, we selected one that everyone could agree on. 

This was my first time trying sea cucumber and I'm not sure I'll be jumping at a chance to have it again. The texture was really strange, and it kind of reminded me of chewing on cartilage. Not my favourite, let's leave it at that. My favourite dishes of the evening were the scallops and prawns, the Wok-baked lobster and the fried rice with foie gras. They were packed with flavour and left me wanting more. Every dish was quite good, actually - those were just the standout ones for me. 

The dessert was a bit weird, based on comments from a few people in my group. The dessert trio included a soup that consisted of sweetened red bean, which is quite typical for a Chinese dessert and there was a sesame ball with taro inside (I loved this) and a strawberry jelly roll, which I didn't really care for, and was apparently the strangest item in our entire meal, after a very interesting conversation about Chinese desserts. 

Service was really good. There were a few people taking care of us, which helped speed things along when it came to plating the food. They would first bring the large platter to our table so we could see (take photos!) and then swiftly move to a serving cart beside our table and divided everything up between 10 dishes. I much prefer this to letting us serve ourselves, and I wish more places would do this. It takes away any chance of someone feeling slighted if, for example, they didn't get the lobster claw, or the 'best' piece of chicken. 

It was a pricey meal, at $100 per person - plus tax and tip (not including any drinks you ordered) and it's definitely not somewhere I'd be going often, but it was a nice way to spend a few hours. I would definitely recommend it if you wanted to splurge on dinner.",2
Mexico Lindo,2,2018-06-06,"This place has been bookmarked for awhile and I finally had the chance to try out this local restaurant located in Scarborough. This is a takeout and dine in restaurant - very casual.

After ordering at the counter, they offer complimentary chips and salsa. The salsa was so thin and watered down - no flavour whatsoever. I would have rather opted to not have it at all. 

I ordered the Chorizo Quesadilla which comes with beans, rice and salad. There are two sauces on dish but both were bland and lacking any taste. My sister ordered the Chicken Burrito which comes with the same sides, again it was bland and quite disappointing. I'm flabbergasted as to how this place has 4/5 stars when there are other places that taste so much better. Maybe it was an off day but this is not my first time having Mexican food. 

Sure the price is on point and portion is decent but quality and taste needs improvement. 

I'm sorry but I will not be returning.",0
Ho Ho Barbeque,3,2018-04-12,"This place is pretty much the epitome of ""hole in the wall."" Tucked into a little strip mall, the restaurant is unassuming from the outside and tiny on the inside. There are no dine-in options - it's take-out only.

When you walk inside, you'll be able to see all the roast meats hanging and spinning. If the doors to the back room are open, you can even see the chefs chopping up the raw meat just two meters away. At the counter, you can see some of the side dishes on display, to help you decide what to order.

The menu has a variety of options, including duck, pork, and chicken, as well as sides such as vegetables and rice. I ended up getting the roast duck with steamed bok choy on the side. The roast duck was delicious - though quite messy to eat, due to all of the juices and bones. The steamed bok choy was lackluster.

The food was tasty and the tiny half restaurant / half butcher shop was quite an experience. It's worth a stop if you're craving some meat and aren't afraid of the grittier environment.",1
Mariachi’s Restaurant,1,2018-06-14,"We went with my children to this restaurant and the service was good but the food was mediocre and heavily priced for the value. I ordered a cheese melt, and got more sausage than cheese and the cheese was cheddar (this dish is not done with cheddar). For $40 dollars per person without alcoholic beverages, one would expect so much more. It was 7 pm and the place was empty. Very disappointed. We won't go back!",0
Tacos El Asador,1,2020-04-24,"Ordered beef burrito and pork pupusas through ubereats.
Started with the burrito which was bland and barely any beef/protein. I couldn't even finish the burrito because it was so bad and I decided to try the pupusas.
It was hard by the time I got to it. Think twice before ordering...",0
Giulietta,3,2019-05-03,"Some hits and many misses; 
Always sad when slow/ inattentive or simply bad service ruins great dishes. However, the setting, the space, and the wine list are great. 

The food: although executed greatly leaves something to be desired in flavour. Simple ingredients are supposed to speak for themselves here mostly, however more ""cooked"" dishes lacked savoury or original flavours that would make you go back for specific dishes. 

The good:  Cacio e pepe is great- am I running back for it anytime, maybe. 
The disappointing: Avoid the Branzino (sea bass) if you have a problem with bones- they make no effort in deboning it before serving. 

The main issue here is service. It was exceptionally slow; had to call the staff several time for refills, orders, more wine, where's our food... etc. T
he timing between each course needed to be shortened but half if not more. I don't think they want you sitting there for 3 hours without dessert even. There were too many loooong pauses during meal staring at an empty table waiting for another round of dishes. 

With lots of great Italian options in the city I would definitely consider it more like a wine bar with a few nibbles rather than a full fledged hearty meal.",1
Agio,5,2020-03-21,"Really nice guy running this restaurant and excellent food. All pasta is handmade, sauce home cooked. Yoy can tell this chef learned his trade in Italy",2
Sichuan Garden Restaurant,3,2018-11-10,"It looks really sketchy outside but don't like it scare u away, cuz the food is pretty good! Let's talk about the 4 dishes we ordered:

1. Dan dan noodles. Okay I'm pretty sure it is not the authentic dan dan noodles but the way they presented it was pretty smart. All the spicy sauce is on the bottom of the bowl because if u can't take that much spicy then u don't have to stir all into the noodles. But other than that no comments.
2. Chicken dry pot. We ordered this because other three plate wasn't enough. It came on a stove and a pot, it tastes amazing but the fire down the stove is just really concerning I wish they could use some protection around it.
3. Spicy beef. ITS SO GOOD and SO SPICY. I freakin loved it!! I'm not joking about the spicy level of this dish so if u can't really take real spicy u need to bring ice milk with u. Also u need to try the numbing pepper that Sichuan cuisine has, it will numb ur tongue and it is such a cool sensation.
4. Double cooked pork belly. It's extremely salty, like super duper salty. We had to order rice to eat this. 

The service: the waiters and waitresses hang around but they r really slow at services.",1
Yummy Yummy Dumplings,1,2018-09-30,"I was craving soup dumplings and this restaurant has such good reviews that I just had to come here. It's a tiny restaurant down some steps, so it might be hard at first to find if you don't know what you're looking for exactly. There isn't a ton of seats, so if it's busy, you might need to wait for a table.

The restaurant itself could use a huge facelift. The washrooms were dirty and very small. The whole place just feels outdated - minus the tables and chairs. I came on a busy Saturday night but was seated fairly quickly. They cleaned my table before I was seated but the dish cloth they used to wipe the table was definitely used.. my table just smelled like a used dish cloth, sadly.
There were also a TON of mosquitos. We were seated right in front the of door, so perhaps this could be why.. but the most odd thing is that they would just drop onto our table and food, and almost die or stop moving instantly. Not sure what was going on.. but it ruined my appetite. 

ONTO THE FOOD: the most important reason why I'm reviewing! We ordered the Juicy Pork Dumplings (soup dumplings), fried shrimp & pork dumplings, & chive pancakes. The soup dumplings were just okay. The filling wasn't as flavourful as other ones that I've tried from other places. It was missing something but I can't figure out what it is. The pancakes were really good, and I wish I ate more but they were dripping I grease, so I couldn't eat more than 2. I didn't have any of the fried dumplings but my boyfriend said they were very greasy as well. We actually had to go get a drink from a bar close by just to get rid of the greasy feel in our mouths.

I honestly wouldn't come back here myself. A lot of other people gave this place high reviews so I'm not sure if I just had a bad experience or not. But the greasy food and mosquitos flying around or dropped dead in front of us wasn't acceptable.",0
Como En Casa,1,2019-02-08,"$16 dollars for the worst burrito bowl/platter ever, are you friggin kidding me. Maybe because it was take out but that's hardly an excuse. The portion size is just pathetic, and the chicken was pretty dry even though it was fairly flavorful. It's not value for the money at all, highly disappointing. Go look at the photo and tell me if that's worth it. At least try a little.",0
Dumpling House Restaurant,1,2019-08-18,"TERRIBLE AND EXTREMELY RUDE SERVICE! LEFT DISAPPOINTED WITH THE QUALITY OF FOOD. WOULD NOT RECOMMEND ANYONE TO GO.

My parents and I came here on a Sunday afternoon for lunch. We ordered Singaporean fried rice noodle and the 15 steamed chives, egg, and dry salty fish dumplings for $10.99.

1. Noodles came out first (really small portions) and then they gave us the bill. We were like what??? Where is our second dish? And they were confused. They then realized they forgot our dumplings.

2. Dumplings came and only 14 out of 15 showed up. We let it slide. 

3. Zero eggs and salty fish in the dumplings. ONLY CHIVES 

4. When my parents paid the bill, the waitress got angry at us and asked why we didn't tip ... but we did tip and it was underneath the bills. So we were like ""excuse me??? Did you even look to see?"" She flips it over and sees the tip and then changes her energy completely and starts saying thank you. This woman had the audacity to get angry at customers who she treated so poorly yet actually still tipped. Im actually speechless.

Additionally, if you're asian and you complain about the food they just get pissed right back at you. And they tell you your opinion doesn't matter cause the Caucasian people don't seem to mind. Terrible",0
Khao San Road,5,2019-08-12,"Shared the Squash Fritters (gra bong) with 3 people as appetizers. It was such a perfect start - crispy, fried to perfection, and not oily. The sweet dip enhances the taste and makes you munch on it again and again. For main, I had the Khao Soi, it was absolutely amazing. It's by far the best Khao Soi I've had in Downtown Toronto (I've tried PAI, Sabai Sabai, Sukhothai and Salad King). I love the soup, and the noodles blend perfectly well with it. The overall ambience is trendy and in an elegant, modern setting. There are plenty of seats (has a 2nd floor).

Khao San Road's portions is big - it's around the same price as the other Thai places but leaves you way more satisfied. My recommendation is to avoid the ridiculous line up at PAI and come here instead for equally (if not better) Thai food.",2
Trattoria Taverniti,1,2019-07-12,"Absolutely terrible food and even worse attitude and service. 

Didn't even have a bite of the food",0
Terroni,2,2019-10-20,"This restaurant is really for the experience. With such a lovely ambience and outstanding service from all staff, the food did not meet up to par with what you may expect.

For starters the food is on the higher price end, and smaller quantities. Although, it is all homemade pasta!! 

I've had homemade pasta before so I had high standards walking in.. I was so excited to try the Gnocchi because well, I LOVE Gnocchi. 

However, I was disappointed. The pasta itself was quite soft and seemed soggy with the red sauce altogether. There was no 'bite' to it, more of a 'mush'. I did not enjoy my meal and that left a significant impression on my take of what the rest of the entrees may be like. 

Note: Calamari & Earl Grey tea were delicious!",0
